METADATA|ElementEntry|AssignmentNumber|ElementName|EntryType|LegislativeDataGroupName|EffectiveStartDate|EffectiveEndDate|SourceSystemId|SourceSystemOwner|Reason
MERGE|ElementEntry|E3408859|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408859_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3409006|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3409006_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3409120|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3409120_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3409158|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3409158_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3409175|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3409175_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3409221|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3409221_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3409274|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3409274_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E4049156|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E4049156_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3409306|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3409306_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3409337|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3409337_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3409410|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3409410_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3409476|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3409476_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3409511|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3409511_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3409573|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3409573_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3409638|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3409638_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3409639|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3409639_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3409695|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3409695_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3409708|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3409708_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3409721|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3409721_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3409765|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3409765_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3409768|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3409768_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3409785|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3409785_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3409802|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3409802_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3409941|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3409941_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3409944|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3409944_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3409990|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3409990_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3410065|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3410065_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3428755|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3428755_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3437448|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3437448_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3444413|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3444413_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3470406|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3470406_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3471675|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3471675_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3478347|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3478347_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3480142|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3480142_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3596246|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3596246_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3611115|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3611115_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3643234|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3643234_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3758522|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3758522_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3758546|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3758546_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3758549|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3758549_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3758606|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3758606_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3812138|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3812138_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3816240|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3816240_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3818546|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3818546_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3860907|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3860907_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3890841|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3890841_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3895410|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3895410_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3912604|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3912604_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3913761|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3913761_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3936514|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3936514_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3966113|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3966113_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3988811|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3988811_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E4014778|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E4014778_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E4032331|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E4032331_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E4034429|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E4034429_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E4035555|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E4035555_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E4037809|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E4037809_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E4053066|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E4053066_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E4056728|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E4056728_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E4059161|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E4059161_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3407982|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3407982_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3407993|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3407993_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3407995|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3407995_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3407996|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3407996_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3407997|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3407997_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408001|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408001_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408005|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408005_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408006|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408006_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408009|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408009_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408010|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408010_Taxable NIable and Pensionable Adjustment_2024/08/01_2|DataMigration|DataMigration
MERGE|ElementEntry|E3408012|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408012_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408017|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408017_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408019|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408019_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408022|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408022_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408028|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408028_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408032|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408032_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408034|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408034_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408038|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408038_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408049|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408049_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408051|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408051_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408054|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408054_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408057|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408057_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408061|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408061_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408064|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408064_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408066|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408066_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408074|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408074_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408077|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408077_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408078|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408078_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408090|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408090_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408091|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408091_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408101|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408101_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408114|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408114_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408118|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408118_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408120|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408120_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408125|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408125_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408128|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408128_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408130|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408130_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408136|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408136_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408138|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408138_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408143|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408143_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408159|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408159_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408162|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408162_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408165|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408165_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408167|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408167_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408168|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408168_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
MERGE|ElementEntry|E3408173|Taxable NIable and Pensionable Adjustment|E|GB Legislative Data Group|2024/08/01|2024/08/31|ElementEntry_E3408173_Taxable NIable and Pensionable Adjustment_2024/08/01_1|DataMigration|DataMigration
